4 158000
5 114000
6 109000
7 131000
8 247000
9 410000
10 477000
11 267000
12 390000
13 517000
14 685000
15 395000
16 777000
17 1031000
18 807000
19 1613000
20 1212000
25 3341000
30 4110000
35 6940000
40 11835000
45 14625000
50 23493000
55 28472000
60 30988000
65 39424000
70 49450000
75 50328000
80 57218000
85 71475000
90 94968000
95 136060000
100 122177000
105 203771000
110 213423000
115 241567000
120 324826000
125 355609000
100 54679296000
110 89575505000
120 227419387000
130 282154824000
140 569957251000
150 797604740000
160 1255373373000
170 1899427962000
180 3470524538000
190 5085067962000
